일자,base2,현금
2001-01-01,0.9090909090909091,0.09090909090909094
2001-02-01,1.0,0.0
2001-03-01,1.0,0.0
2001-04-01,1.0,0.0
2001-05-01,1.0,0.0
2001-06-01,1.0,0.0
2001-07-01,0.9090909090909091,0.09090909090909094
2001-08-01,0.7272727272727273,0.2727272727272727
2001-09-01,0.8181818181818182,0.18181818181818177
2001-10-01,0.5454545454545454,0.4545454545454546
2001-11-01,1.0,0.0
2001-12-01,1.0,0.0
2002-01-01,1.0,0.0
2002-02-01,1.0,0.0
2002-03-01,0.8181818181818182,0.18181818181818177
2002-04-01,0.6363636363636364,0.36363636363636365
2002-05-01,0.36363636363636365,0.6363636363636364
2002-06-01,0.0,1.0
2002-07-01,0.0,1.0
2002-08-01,0.0,1.0
2002-09-01,0.0,1.0
2002-10-01,0.0,1.0
2002-11-01,0.18181818181818182,0.8181818181818181
2002-12-01,0.5454545454545454,0.4545454545454546
2003-01-01,0.6363636363636364,0.36363636363636365
2003-02-01,0.8181818181818182,0.18181818181818177
2003-03-01,0.5454545454545454,0.4545454545454546
2003-04-01,0.36363636363636365,0.6363636363636364
2003-05-01,0.2727272727272727,0.7272727272727273
2003-06-01,0.45454545454545453,0.5454545454545454
2003-07-01,1.0,0.0
2003-08-01,1.0,0.0
2003-09-01,1.0,0.0
2003-10-01,1.0,0.0
2003-11-01,1.0,0.0
2003-12-01,1.0,0.0
2004-01-01,1.0,0.0
2004-02-01,1.0,0.0
2004-03-01,1.0,0.0
2004-04-01,1.0,0.0
2004-05-01,1.0,0.0
2004-06-01,1.0,0.0
2004-07-01,1.0,0.0
2004-08-01,1.0,0.0
2004-09-01,1.0,0.0
2004-10-01,1.0,0.0
2004-11-01,0.8181818181818182,0.18181818181818177
2004-12-01,0.7272727272727273,0.2727272727272727
2005-01-01,0.36363636363636365,0.6363636363636364
2005-02-01,0.6363636363636364,0.36363636363636365
2005-03-01,0.9090909090909091,0.09090909090909094
2005-04-01,0.36363636363636365,0.6363636363636364
2005-05-01,0.09090909090909091,0.9090909090909091
2005-06-01,0.2727272727272727,0.7272727272727273
2005-07-01,0.2727272727272727,0.7272727272727273
2005-08-01,0.7272727272727273,0.2727272727272727
2005-09-01,0.5454545454545454,0.4545454545454546
2005-10-01,0.18181818181818182,0.8181818181818181
2005-11-01,0.0,1.0
2005-12-01,0.09090909090909091,0.9090909090909091
2006-01-01,0.0,1.0
2006-02-01,0.2727272727272727,0.7272727272727273
2006-03-01,0.2727272727272727,0.7272727272727273
2006-04-01,0.36363636363636365,0.6363636363636364
2006-05-01,0.5454545454545454,0.4545454545454546
2006-06-01,0.0,1.0
2006-07-01,0.0,1.0
2006-08-01,0.0,1.0
2006-09-01,0.0,1.0
2006-10-01,0.0,1.0
2006-11-01,0.0,1.0
2006-12-01,0.0,1.0
2007-01-01,0.09090909090909091,0.9090909090909091
2007-02-01,0.18181818181818182,0.8181818181818181
2007-03-01,0.45454545454545453,0.5454545454545454
2007-04-01,0.2727272727272727,0.7272727272727273
2007-05-01,0.7272727272727273,0.2727272727272727
2007-06-01,0.8181818181818182,0.18181818181818177
2007-07-01,0.09090909090909091,0.9090909090909091
2007-08-01,0.0,1.0
2007-09-01,0.0,1.0
2007-10-01,0.0,1.0
2007-11-01,0.0,1.0
2007-12-01,0.0,1.0
